"city","gent","vuln","mean_11","mean_19"
"ahga",0,0,19.3333333333333,21.2663989290495
"ahga",0,1,15.4939759036145,16.3855421686747
"ahga",1,1,23.0309589730682,24.8502391140196
"ahga",1,1,31.5204872646733,32.6866002214839
"ahga",0,0,56.8368251410153,57.4717969379533
"ahga",0,1,40.3070780399274,41.4838475499093
"ahga",0,0,19.151294295049,19.8509675797939
"ahga",0,1,19.1100968188105,19.7183955739972
"ahga",0,0,30.8942558746736,32.0317667536989
"ahga",1,1,36.2343558282209,37.6613496932515
"ahga",0,0,29.3176151761518,31.1962059620596
"ahga",0,0,18.7671300893744,19.6410129096326
"ahga",0,1,20.9395235186316,21.9584605986561
"ahga",0,1,21.3766594016247,23.2869031107589
"ahga",0,1,51.7567567567568,52.3648648648649
"ahga",0,0,9.26262626262626,9.68538324420677
"ahga",0,1,23.5437928408225,25.0480769230769
"ahga",0,0,29.7789215112879,30.7081530003509
"ahga",0,1,21.345122821323,22.7541535011722
"ahga",1,1,6.02176039119804,6.2639608801956
"ahga",0,0,14.1584632212196,14.800519551545
"ahga",0,1,11.5036241984946,12.0145664901032
"ahga",0,0,21.1950244335851,23.7106471197986
"ahga",0,0,14.8068337575876,15.6655570785197
"ahga",0,0,12.3838401390096,12.7679409209383
"ahga",0,0,3.53059382236352,3.64920130303387
"ahga",0,0,12.6076923076923,14.4614423076923
"ahga",0,0,10.8868947072072,12.7406038851351
"ahga",0,0,4.87504593899302,5.30099228224917
"ahga",0,0,7.32018561484919,8.36194895591647
"ahga",0,0,2.25333702575464,2.47527000830795
"baca",0,0,61.2360999194198,61.2360999194198
"baca",0,0,62.1898047722343,62.2809110629067
"baca",0,0,40.1247906197655,41.0686767169179
"baca",0,0,0.075187969924812,0.075187969924812
"baca",0,0,57,57
"baca",0,1,66.6063829787234,67.2021276595745
"baca",0,1,73.8498023715415,73.8498023715415
"baca",0,1,88.7960526315789,89.1184210526316
"baca",1,1,76.9117647058823,76.9117647058823
"baca",0,1,76.4852941176471,76.4852941176471
"baca",1,1,85.5186170212766,85.625
"baca",0,0,44,44
"baca",0,0,76.402390438247,76.402390438247
"baca",0,1,70.8166666666667,70.8166666666667
"baca",0,1,75.5365853658537,75.5365853658537
"baca",0,1,69.3691931540342,69.3691931540342
"baca",1,1,72.3263816475495,72.3263816475495
"baca",1,1,78.4003527336861,78.4003527336861
"baca",0,0,31.3758389261745,31.5195749440716
"baca",0,1,65.5655471289274,65.5655471289274
"baca",0,1,66.930056710775,66.930056710775
"baca",0,1,78.2184325108853,78.2481857764877
"baca",1,1,63.9795454545455,64.075
"baca",0,1,77.8821548821549,77.8821548821549
"baca",0,0,73.7725173210162,74.3187066974596
"baca",0,0,63.0936599423631,63.9048991354467
"baca",0,0,84.1772575250836,84.4816053511706
"baca",0,0,78.6112600536193,78.6112600536193
"baca",0,0,85.892,85.892
"baca",0,0,88.1173469387755,88.1173469387755
"baca",0,1,91.8571428571429,92.6984126984127
"baca",0,0,92.8540145985401,92.8540145985401
"baca",0,1,94.8260869565217,94.8260869565217
"baca",0,0,81.0851449275362,81.0851449275362
"baca",0,0,63.8825757575758,66.8712121212121
"baca",0,0,83.9578544061303,83.9578544061303
"baca",0,0,85.021052631579,85.021052631579
"baca",0,0,87.1967213114754,88.0196721311475
"baca",0,0,83.9282868525896,84.6294820717131
"baca",0,0,73.008797653959,73.425219941349
"baca",1,1,93.4609218436874,93.4609218436874
"baca",0,0,75.8446601941748,75.8446601941748
"baca",0,0,74.1793248945148,74.1793248945148
"baca",0,0,62.0476900149031,62.3293591654247
"baca",0,0,83.4006309148265,83.4006309148265
"baca",1,1,82.6964856230032,82.6964856230032
"baca",0,1,81.7589531680441,82.2933884297521
"baca",1,1,79.0210304942166,79.6656151419558
"baca",0,0,68.9297423887588,69.1194379391101
"baca",0,1,83.9425675675676,83.9425675675676
"baca",1,1,76.5483870967742,76.5483870967742
"baca",0,1,78.4207188160676,78.4207188160676
"baca",0,1,80.2084309133489,80.2084309133489
"baca",0,0,81.5229591836735,81.5229591836735
"baca",0,0,62.4710884353741,63.1479591836735
"baca",0,1,79.63139329806,79.63139329806
"baca",0,0,83.5757575757576,83.5757575757576
"baca",0,1,72.9539877300613,73.0153374233129
"baca",0,1,64.125,64.125
"baca",1,1,77.9556171983356,77.9556171983356
"baca",0,0,76.3262032085562,76.3262032085562
"baca",0,1,76.9499105545617,76.9499105545617
"baca",0,0,58.3816568047337,58.4810650887574
"baca",0,0,45.6367346938775,52.5061224489796
"baca",0,0,83.2566585956417,83.2566585956417
"baca",0,0,83.9694189602447,83.9694189602447
"baca",0,0,81.9552941176471,81.9552941176471
"baca",1,1,83.415,83.415
"baca",0,0,78.2342342342342,78.3355855855856
"baca",0,1,55.0137362637363,55.4721350078493
"baca",0,1,73.8740740740741,73.8740740740741
"baca",1,1,55.6133459536204,55.7122574538571
"baca",0,0,56.0147814910026,56.0694087403599
"baca",0,1,73.0345864661654,73.0345864661654
"baca",0,0,63.8978328173375,63.8978328173375
"baca",0,0,59.8682766190999,59.9626783754116
"baca",1,1,74.2779661016949,74.3474576271186
"baca",0,0,60.9922279792746,61.0777202072539
"baca",0,0,47.1816881258941,47.3018597997139
"baca",0,0,39.1595047341588,41.6580480699199
"baca",0,0,72.9086956521739,72.9836956521739
"baca",0,0,58.692005242464,59.1140235910878
"baca",0,0,52.232602478551,52.6005719733079
"baca",0,0,56.0135495994462,56.6102264860053
"baca",0,0,0.491006494478197,0.507736509741717
"baca",0,0,13.1001104158999,13.1313949208686
