"city","median","lower","upper"
"safl",0.0243759302864229,0.0210587409446424,0.0277212355379792
"ahga",0.0573753567752741,0.0547690993366786,0.0614827920848168
"ioio",0.0576614874926373,0.0463365259951303,0.0686386967656509
"uril",0.0618405324582467,0.0587474735101937,0.0696220535448868
"poor",0.064088284352192,0.0566807875013856,0.0658780292808992
"tawa",0.0659979401419172,0.0642566111632253,0.0669849854586278
"mawi",0.0693043028021507,0.0622149576300643,0.0707118912605953
"wide",0.111529362471762,0.105554116802384,0.121419694013091
"sewa",0.118056171078764,0.110563361011272,0.124858608710232
"baca",0.125374597466849,0.117016348451242,0.134521952822439
"mela",0.126517879798216,0.124513533071814,0.129695433098758
"rony",0.133936122122934,0.125964238732285,0.140485739998045
"scut",0.142195486760497,0.137234660839527,0.145672250700361
"deco",0.14624056392489,0.140376213781862,0.152838147556016
"phaz",0.15820804723144,0.15378360716173,0.170474458367875
"slmo",0.177305454941756,0.171338220601931,0.197409913252403
"inin",0.201021729668284,0.192644989549016,0.221668545704153
"boma",0.208811246164624,0.204320125416543,0.214530260270692
"lrar",0.219116086173175,0.198088975169887,0.238298667431896
"hote",0.219371632795421,0.204363393733667,0.242527655028273
"naca",0.231721093092659,0.219836650133424,0.245156833292302
"jams",0.239619657675481,0.238676732960387,0.244261508194585
"chil",0.299594905470332,0.289319798102202,0.315602646579169
