"species","ahga","baca","boma","chil","deco","hote","inin","ioio","jams","lrar","mawi","mela","naca","phaz","poor","rony","safl","scut","sewa","slmo","tawa","uril","wide"
"armadillo",56.0566282000971,-1851.12591085296,-1671.49366605819,-471.603957919663,-167.687877396956,28.7200521983079,-444.813357413436,-390.257835507567,256.355418961645,387.112760960585,-588.131311437493,-1353.58926519246,-852.794990470623,-679.065609741436,-2180.99769639985,-1242.9613542347,53.8055941997927,-765.404978203592,-2336.54889174175,62.3088006413982,-2314.89984018403,-256.185461918803,-1048.56259906966
"bobcat",342.845687409619,2.82818447198215,-84.4214441178482,-39.173453945467,920.365428928846,28.7200521983079,216.823801778378,221.961897641963,255.947452582517,601.091284720703,-47.3180076966284,33.3869024093834,-102.454649703232,320.777525555037,145.013135767585,-88.3147679850909,53.8055942331913,1200.44547892378,64.0904347653203,507.309958048988,130.846737094586,200.745584821039,-77.6015554741548
"eastern_chipmunk",85.5733889582855,-2669.12739690683,11.2532035683823,1047.21405399431,-799.697708555439,-384.011756359139,863.619967240095,703.490459705301,158.830899634316,203.866636392687,995.392025297613,-2339.55914286169,39.4626314410041,-1676.49340571013,-2172.24191500326,194.550310288442,-506.414312324494,-1485.26807018794,-2057.74513487508,574.756353264383,-2090.43748364503,886.036170228121,10.5609227428603
"cottontail_sp",361.928100707624,2.49275092040395,11.2576437176596,520.724185550964,34.3165284074778,28.7200521983079,466.824205570418,774.003951059592,256.355418961645,625.003074496783,592.037083136873,30.6543665228756,39.4618718535157,87.8527160084816,19.1117475162555,194.550310288442,54.2092787130828,-97.2593663642011,-44.7941556963167,955.463946762867,-111.595288395182,626.638878058164,10.5661186759238
"coyote",353.338392424489,2.49275092040281,10.277883262743,1268.74227363532,1477.18447316178,31.9066349921713,1001.72284387004,1550.06213835488,283.702977587566,619.778332206062,1296.52452321052,30.6543665228628,14.6835090092806,320.740554863184,103.130970312704,194.550310288442,54.2092787130828,1168.41991370196,12.6792405811956,1100.73615052791,5.38640802535045,1221.52641708931,9.40526291842506
"gray_squirrel_sp",342.847363457194,2.82808929082145,11.2532035683823,520.724185550964,-668.748571699857,28.7222232397609,466.824205634821,373.053438665605,256.356749922963,536.307874934142,592.037083136873,-47.0327739334298,39.4626314410041,-387.619221110097,8.08547185486055,194.550310288442,53.8109259492771,-901.704205925179,-46.9313406202975,684.032810857263,0.719813912927223,626.638878133728,10.5609227428603
"gray_fox",342.845687409619,2.82808929082127,11.257643655735,520.727982253974,110.0293599085,28.7200521983079,466.826791475179,636.733177485944,240.620574539467,602.496797112398,601.585783393425,33.3869024093834,39.4618717259473,320.777525489073,103.694872436221,194.550310288442,53.8055941997927,160.689260715876,-241.045536131853,870.832077164023,-173.438305664465,626.641912065661,10.5661186759238
"north_american_beaver",342.845687409619,-72.6728005868391,11.2532035683823,1271.70285183912,1106.47679612521,28.7200521983079,1006.38855868338,1560.5594006353,256.355418961645,625.001843929688,1444.6887356516,-276.431624377247,39.4618718535157,182.853818503828,145.013135767585,194.550310288442,-204.879391730424,381.446372798091,0.527341731150998,1085.77780998121,8.01109628235761,1226.22873678846,10.5609227428603
"raccoon",342.847363457194,2.82841399683847,11.2532035683823,1203.42216640682,75.0431450570162,28.7222232397609,1006.39446884337,1416.0108721397,256.356749922963,625.001843929688,1115.87436918863,33.3870972972367,39.4626314410041,61.8396254202531,145.018036956204,194.550310288442,53.8109259492771,-200.425002738943,0.527341731150998,1085.77989830666,8.01109628235761,1226.2345693714,10.5609227428603
"red_fox",342.845687409619,-48.1809045663248,11.257643655735,1271.70285189294,197.713964466566,28.7200521983079,1006.38855868338,1226.85093309035,256.355418961645,609.622198392025,1444.6887356516,1.57811917725002,39.4618717259473,-410.266434776276,145.013981755664,194.550310288442,6.57792080558537,80.2086232950966,0.523569808133427,1085.77780995384,8.01086612495346,1226.22873678846,10.5661186759238
"virginia_opossum",342.845687409619,2.82808929082127,11.2576436557355,53.7546857679316,-75.6744065237931,28.7200521983079,277.242073389077,57.0299053010685,256.355418961645,625.003074496783,-108.299232191401,33.3869024093834,39.4618717259473,-208.265426798891,124.14833820206,140.939842446179,53.8055941997927,-588.562164262704,0.523569808133427,527.000960373535,8.01086612495346,250.777131167783,10.5661186759238
"white_tailed_deer",342.845686144369,-295.020125356034,11.257643655735,1271.70285042258,128.960782177307,28.7200486336947,1006.38855868338,1560.55940060698,256.355415732206,625.003074496783,1444.6887356516,-387.160219033797,39.4618717259473,263.982574880767,145.013983015693,194.550310288442,53.8055953280696,-12.5895705981528,-45.2787362748871,1085.77780995384,-18.8735633740519,1226.22873678846,10.5661172844508
"woodchuck",-33.182351998606,-1550.05905791185,11.2532035683823,946.42250818838,-702.609045030164,-503.953622276535,842.321542248388,569.200595112104,-112.530944006857,182.15346556597,744.723543187186,-1927.13399760103,39.4626314410041,-1741.99844131734,-679.735482218646,194.550310288442,-665.016359545006,-1074.90123692034,-498.342292816067,671.293778432169,-542.659848634696,959.742310912428,10.5609227428603
"fox_squirrel",342.845687409619,-16.243906661206,-547.423151136449,75.8833885116115,58.4063416587404,28.7200521983079,277.242073389077,490.79853816433,256.355418961645,625.003074496783,239.924504736564,-49.6401083092249,39.4618717259473,-720.356334382403,-736.26634852242,12.9969674684809,53.8055941997927,-675.671581624547,-1078.30558628818,573.225017317361,-1011.84670580725,250.777131167783,2.47934794641904
