"city","median","lower","upper"
"safl",0.0429727058571992,0.0357338883582186,0.0488892624878836
"deco",0.047256125754466,0.0441329245275657,0.0588077211941551
"wide",0.0498335696339694,0.0460176386190649,0.0522045335711472
"baca",0.0518674780105544,0.0493057219686421,0.0572561179487102
"uril",0.0537119032495665,0.0461109828825964,0.0678004714620189
"sewa",0.0543126885270893,0.0488194154767108,0.0569263465004943
"ioio",0.0614417230823785,0.0516147779710511,0.0729499156108881
"slmo",0.0619379306842953,0.0543282743662423,0.0892872508326375
"tawa",0.0631042839041315,0.0556976444322121,0.0687572875183417
"boma",0.065396437773912,0.0600698327662988,0.0716700983910676
"mela",0.0726295155653077,0.0667985063010074,0.0813791269227381
"poor",0.0729095045562036,0.0637326357720392,0.0807545347086999
"chil",0.0756943562313862,0.0686934746280882,0.0878558066747372
"ahga",0.0765964138010925,0.0701782164033105,0.0860338114918034
"scut",0.0815863959731803,0.0743170271448838,0.089261067775398
"naca",0.083771019093467,0.0815569648372794,0.0940726801539743
"rony",0.0847187550172669,0.0754802665198889,0.100262498377804
"mawi",0.11281251849327,0.100060061962272,0.120875477459464
"hote",0.130596408272788,0.112752278280751,0.148842851950679
"phaz",0.131221614802632,0.118459488924705,0.147042503960061
"inin",0.135569878472962,0.123169454344831,0.145610655192218
"jams",0.136122280906304,0.134907652001985,0.143156574586169
"lrar",0.140449562634596,0.121838513681771,0.161851881553722
