"City","Site","gentrifying","vulnerable","mean_19"
"chil","D02-MOP1",TRUE,TRUE,77.7901977644024
"chil","D02-RCP1",TRUE,TRUE,77.9496279336005
"chil","D02-SCP1",TRUE,TRUE,81.1947308132875
"chil","D03-AFP1",FALSE,TRUE,75.524505588994
"chil","D03-AMP1",TRUE,TRUE,70.5522772844457
"chil","D03-CHP1",TRUE,TRUE,72.3014916810098
"chil","D03-GOM1",TRUE,TRUE,49.629937034917
"chil","D03-NPV1",FALSE,TRUE,46.9246202350244
"chil","D03-STB1",TRUE,TRUE,77.5617655488679
"chil","D04-DNP1",TRUE,TRUE,59.5361445783133
"chil","D04-EDW0",FALSE,FALSE,37.7009158557527
"chil","D04-RDP1",FALSE,FALSE,61.0971706201772
"chil","D04-ROS0",FALSE,TRUE,56.9974219421369
"chil","D05-ADC2",FALSE,FALSE,38.6117647058824
"chil","D05-BRP1",FALSE,FALSE,52.5875107419078
"chil","D05-MIA1",FALSE,FALSE,56.1388888888889
"chil","D05-PRC1",FALSE,FALSE,44.2442026910965
"chil","D06-KCG1",FALSE,FALSE,37.0783528738919
"chil","D07-ASC0",FALSE,TRUE,29.1373279816514
"chil","D07-NOC1",FALSE,FALSE,27.820886981402
"chil","D08-CCC1",FALSE,FALSE,35.6113499570077
"chil","D08-DAW0",TRUE,TRUE,27.3598050458716
"chil","D08-DAW2",TRUE,TRUE,27.3394285714286
"chil","D09-CLG0",FALSE,FALSE,22.7099455431356
"chil","D09-RYW1",FALSE,FALSE,8.67277411966791
"chil","D09-VTC1",FALSE,FALSE,30.5406876790831
"chil","D10-CAN0",FALSE,FALSE,34.7793063915162
"chil","D10-MAC1",FALSE,FALSE,3.93190271816881
"chil","D10-VHC1",FALSE,FALSE,48.3865329512894
"chil","J01-BBS1",TRUE,TRUE,46.0575436587461
"chil","J01-LMP1",TRUE,TRUE,49.4261966179421
"chil","J01-SEP1",TRUE,TRUE,84.4032721010333
"chil","J01-SKP1",FALSE,FALSE,85.5012882908674
"chil","J01-UIC1",TRUE,TRUE,83.7898966704937
"chil","R02-DPG1",TRUE,TRUE,65.9107604017217
"chil","R02-FRP1",TRUE,TRUE,75.2898509174312
"chil","R02-HRF1",FALSE,TRUE,71.5606190885641
"chil","R03-AUP1",FALSE,TRUE,65.5636623748212
"chil","R03-CPG1",FALSE,TRUE,61.547564469914
"chil","R03-EUC1",TRUE,TRUE,64.8205789624534
"chil","R03-MAP1",TRUE,TRUE,66.7890355912744
"chil","R04-MMW0",TRUE,TRUE,43.1908440629471
"chil","R04-MMW3",TRUE,TRUE,41.2631126397249
"chil","R04-SCH1",TRUE,TRUE,64.8295128939828
"chil","R05-FMG1",FALSE,TRUE,48.4395195882185
"chil","R05-GOC1",FALSE,TRUE,50.708106559725
"chil","R05-STP1",TRUE,TRUE,69.265674205554
"chil","R06-OTB1",FALSE,TRUE,55.8
"chil","R06-SLT2",FALSE,FALSE,43.5331040412726
"chil","R06-YOW1",FALSE,FALSE,44.0732894360149
"chil","R07-FSP1",FALSE,FALSE,57.8695153427015
"chil","R07-GOF1",FALSE,TRUE,38.7912844036697
"chil","R07-MMP1",FALSE,FALSE,39.3308528906697
"chil","R07-YHR1",FALSE,FALSE,47.0111587982833
"chil","R08-DAP1",FALSE,FALSE,37.8029217989115
"chil","R08-PAP1",FALSE,FALSE,46.7853253081112
"chil","R08-VLG1",FALSE,FALSE,43.2525684931507
"chil","R08-WBK1",FALSE,FALSE,36.810221073787
"chil","R09-BLW1",FALSE,FALSE,41.8574699484831
"chil","R09-CTG0",FALSE,FALSE,16.5867010604758
"chil","R09-LIM0",FALSE,FALSE,34.6618911174785
"chil","R09-SMI1",FALSE,FALSE,30.9353361945637
"chil","R10-FRM1",FALSE,FALSE,26.2066494697621
"chil","R10-FRM2",FALSE,FALSE,13.7922152261019
"chil","R10-WCP0",FALSE,TRUE,31.3709538814093
"chil","R10-WDW0",TRUE,TRUE,30.6246764452114
"chil","S02-BNS1",TRUE,TRUE,43.8401721664275
"chil","S02-BRI1",FALSE,TRUE,80.8600114744693
"chil","S02-PIP1",TRUE,TRUE,78.4667049368542
"chil","S02-PLP1",TRUE,TRUE,85.2792096219931
"chil","S02-TNW1",TRUE,TRUE,41.2755364806867
"chil","S03-JKP2",FALSE,TRUE,31.7727793696275
"chil","S03-LCP1",TRUE,TRUE,73.6822349570201
"chil","S03-PSP1",FALSE,TRUE,73.6553899082569
"chil","S03-VIP1",TRUE,TRUE,73.2836248924577
"chil","S03-WAP1",FALSE,TRUE,85.3049685893775
"chil","S04-HAP1",FALSE,TRUE,72.3770068807339
"chil","S04-OTW1",TRUE,TRUE,41.3113342898135
"chil","S04-SSP1",FALSE,TRUE,61.8942693409742
"chil","S05-LNC1",FALSE,TRUE,47.3870598339536
"chil","S05-RES1",FALSE,TRUE,55.276266819353
"chil","S05-SFP0",FALSE,TRUE,46.7031518624642
"chil","S06-CBW0",FALSE,FALSE,16.6979077099455
"chil","S07-ARG1",FALSE,FALSE,15.0126002290951
"chil","S07-ARG2",FALSE,FALSE,31.2074498567335
"chil","S07-STJ1",FALSE,FALSE,17.7820733104238
"chil","S08-WGL1",FALSE,FALSE,14.0420721236405
"chil","S08-WGL3",FALSE,FALSE,3.41573676680973
"chil","S09-KTP1",FALSE,FALSE,14.8220314735336
"chil","S09-SMC1",FALSE,FALSE,40.3933486238532
"chil","S09-VTW0",FALSE,FALSE,47.4335724533716
"chil","S10-ILC1",FALSE,TRUE,21.0412844036697
"chil","S10-LEW1",FALSE,TRUE,18.8373493975904
"chil","S10-LPC1",FALSE,FALSE,44.1334289813486
"chil","S10-LPP0",TRUE,TRUE,10.2753291356611
"deco","E01-CHE1",FALSE,FALSE,50.6970217640321
"deco","E01-CON1",FALSE,FALSE,42.1525472238122
"deco","E01-CPE1",TRUE,TRUE,31.8559152105414
"deco","E01-CPW1",FALSE,FALSE,45.1080538836343
"deco","E01-SGP1",FALSE,TRUE,72.7887202977383
"deco","E02-FTP1",TRUE,TRUE,52.612525021447
"deco","E02-LIN1",FALSE,FALSE,50.3459552495697
"deco","E02-MCN1",TRUE,TRUE,46.9982803095443
"deco","E02-MON1",TRUE,TRUE,42.3255947262826
"deco","E02-VER1",TRUE,TRUE,49.5795649685175
"deco","E03-CWP1",FALSE,TRUE,46.3444921316166
"deco","E03-DMP1",TRUE,TRUE,41.6004599022708
"deco","E03-GEN1",TRUE,TRUE,55.1462507155123
"deco","E03-SAC1",FALSE,TRUE,37.8913417431193
"deco","E03-SPG1",FALSE,TRUE,55.7500717360115
"deco","E04-APM1",FALSE,TRUE,47.6011461318052
"deco","E04-SCR1",FALSE,FALSE,26.5270077164904
"deco","E04-SKE1",FALSE,TRUE,30.0389350128829
"deco","E04-SKW1",FALSE,TRUE,36.2766809728183
"deco","E04-TER1",FALSE,TRUE,44.3953022056717
"deco","W01-BAR1",TRUE,TRUE,57.6615031554791
"deco","W01-GCP1",TRUE,TRUE,71.2785571142285
"deco","W01-LIP1",FALSE,TRUE,75.2729621125143
"deco","W01-MAR1",TRUE,TRUE,48.8831949613513
"deco","W01-SLP1",TRUE,TRUE,41.0863453815261
"deco","W02-CHP1",FALSE,FALSE,19.4050813588353
"deco","W02-HOL1",FALSE,TRUE,35.3212851405622
"deco","W02-MOR1",TRUE,TRUE,44.0973096737264
"deco","W02-SUN1",FALSE,TRUE,55.3957617411226
"deco","W02-WBP1",TRUE,TRUE,55.2023502436228
"deco","W03-CPP1",FALSE,FALSE,37.6072862880092
"deco","W03-DAN1",FALSE,TRUE,32.4291044776119
"deco","W03-GRA1",FALSE,FALSE,32.8103843947217
"deco","W03-MGP1",FALSE,FALSE,15.65081638499
"deco","W04-APE1",FALSE,FALSE,11.7044673539519
"deco","W04-PVP1",TRUE,TRUE,40.56156930126
"deco","W04-STM1",TRUE,TRUE,17.8424677187948
"deco","W04-WES1",TRUE,TRUE,49.7514978601997
"deco","W04-WSP1",FALSE,FALSE,8.04274239816409
"hote","BELP",FALSE,FALSE,70.4958464623317
"hote","CCEC1",TRUE,TRUE,15.5022948938612
"hote","CHMP",FALSE,FALSE,13.3716003435442
"hote","CULP",TRUE,TRUE,70.786739380023
"hote","FHNA",FALSE,FALSE,18.5609965635739
"hote","FONP",TRUE,TRUE,69.5846242111302
