"Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.20","psrf"
-0.3,0.12,0.56,0.12,0.22,NA,0.01,5.8,293,0.17,1
0.24,0.6,0.96,0.59,0.19,NA,0.01,4.8,438,0.06,1.01
0.59,0.66,0.72,0.66,0.03,NA,0,4.2,573,0.07,1
0.33,0.46,0.59,0.46,0.07,NA,0,4.6,479,0.09,1
0.63,0.71,0.81,0.71,0.05,NA,0,3.6,757,0.01,1
0.88,0.98,1.07,0.98,0.05,NA,0,3.3,901,0.06,1
0.05,0.57,1.16,0.56,0.27,NA,0.01,2,2403,0,1
0.37,0.63,1.1,0.67,0.21,NA,0,1.9,2842,0.02,1
0.19,0.22,0.26,0.22,0.02,NA,0,4.4,526,0.07,1
