"Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.20","psrf"
-0.32,0.13,0.51,0.13,0.21,NA,0.01,5.5,335,0.12,1
0.13,0.53,0.86,0.52,0.19,NA,0.01,4.7,444,0.05,1
0.62,0.68,0.74,0.68,0.03,NA,0,3.7,735,0.07,1
0.34,0.47,0.6,0.47,0.07,NA,0,4.7,450,0.11,1.01
0.62,0.71,0.8,0.71,0.05,NA,0,3.5,828,0.03,1
0.87,0.96,1.06,0.96,0.05,NA,0,3.6,774,0.05,1
-0.07,0.56,1.08,0.56,0.29,NA,0.01,2.4,1681,0.03,1
0.36,0.62,1.11,0.67,0.21,NA,0,2,2461,0.05,1
0.19,0.22,0.25,0.22,0.02,NA,0,4.1,583,0.09,1
