"Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.20","psrf"
-0.3,0.15,0.55,0.15,0.22,NA,0.01,5.8,298,0.12,1
0.03,0.44,0.81,0.43,0.2,NA,0.01,5.3,351,0.11,1
0.62,0.67,0.74,0.67,0.03,NA,0,3.6,792,0.05,1
0.35,0.48,0.61,0.48,0.07,NA,0,4.8,426,0.08,1.01
0.65,0.74,0.83,0.74,0.05,NA,0,3.5,823,0.04,1
0.88,0.97,1.05,0.97,0.05,NA,0,3.3,904,0.02,1
-0.03,0.56,1.1,0.55,0.28,NA,0.01,2.1,2217,0,1
0.35,0.62,1.1,0.67,0.21,NA,0,2.1,2353,0,1
0.19,0.22,0.25,0.22,0.02,NA,0,4.3,541,0.04,1
