"Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.20","psrf"
-0.38,0.07,0.46,0.06,0.22,NA,0.01,5.7,305,0.18,1.01
0.1,0.47,0.83,0.47,0.19,NA,0.01,5,402,0.09,1.01
0.62,0.68,0.74,0.68,0.03,NA,0,3.7,734,0.02,1
0.31,0.44,0.57,0.44,0.07,NA,0,4.6,470,0.08,1
0.63,0.72,0.81,0.72,0.05,NA,0,3.7,719,0.06,1
0.87,0.96,1.05,0.96,0.05,NA,0,3.2,995,0.04,1
-0.01,0.54,1.11,0.54,0.29,NA,0.01,2,2553,-0.02,1
0.35,0.63,1.11,0.68,0.22,NA,0,2.1,2235,0,1
0.19,0.22,0.25,0.22,0.02,NA,0,4.1,603,0.08,1
