"Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.20","psrf"
-0.17,0.26,0.63,0.25,0.2,NA,0.01,5.3,363,0.11,1.01
0,0.38,0.77,0.38,0.2,NA,0.01,5.4,348,0.08,1
0.61,0.68,0.74,0.68,0.03,NA,0,3.7,731,0.06,1.01
0.3,0.44,0.56,0.44,0.07,NA,0,4.6,478,0.06,1
0.62,0.72,0.8,0.72,0.05,NA,0,3.5,818,0.05,1
0.86,0.95,1.04,0.95,0.05,NA,0,3,1117,0,1
-0.01,0.55,1.11,0.55,0.28,NA,0.01,2,2533,-0.01,1
0.32,0.62,1.06,0.66,0.22,NA,0,2,2382,0.01,1
0.19,0.22,0.26,0.22,0.02,NA,0,4,617,0.07,1.01
