"Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.20","psrf"
-0.38,0.07,0.51,0.07,0.22,NA,0.01,5.9,291,0.13,1.01
0.17,0.5,0.87,0.5,0.18,NA,0.01,4.7,456,0.05,1.01
0.61,0.68,0.74,0.68,0.03,NA,0,4.2,569,0.08,1
0.31,0.43,0.57,0.43,0.07,NA,0,4.7,459,0.06,1.01
0.63,0.71,0.81,0.71,0.05,NA,0,3.4,846,0.05,1
0.88,0.98,1.07,0.98,0.05,NA,0,3.3,941,0.02,1
-0.05,0.54,1.1,0.54,0.29,NA,0.01,2.2,2084,-0.03,1
0.36,0.62,1.1,0.67,0.22,NA,0,2,2593,0,1
0.19,0.22,0.25,0.22,0.02,NA,0,4.6,473,0.07,1.01
