"Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.20","psrf"
-0.34,0.09,0.52,0.08,0.23,NA,0.01,5.7,311,0.14,1
0.24,0.59,0.96,0.59,0.18,NA,0.01,4.9,411,0.06,1
0.62,0.68,0.75,0.68,0.03,NA,0,4,638,0.05,1.01
0.32,0.45,0.57,0.45,0.06,NA,0,4.4,520,0.05,1.02
0.62,0.72,0.81,0.72,0.05,NA,0,3.8,680,0,1
0.86,0.96,1.05,0.96,0.05,NA,0,3,1114,0.03,1
0.02,0.56,1.18,0.56,0.28,NA,0.01,2.1,2168,0,1
0.35,0.63,1.08,0.67,0.21,NA,0,2.1,2330,-0.02,1
0.2,0.23,0.26,0.23,0.02,NA,0,4.3,550,0.07,1.01
