"Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.20","psrf"
-0.18,0.25,0.61,0.25,0.2,NA,0.01,5,395,0,1.01
-0.34,0.14,0.51,0.13,0.22,NA,0.01,5.5,330,0.14,1.01
0.6,0.67,0.73,0.67,0.03,NA,0,3.4,858,0,1
0.3,0.43,0.56,0.43,0.07,NA,0,4.6,464,0.03,1.01
0.63,0.71,0.81,0.71,0.05,NA,0,3.7,733,0.02,1
0.86,0.95,1.05,0.95,0.05,NA,0,3.5,837,0.05,1
-0.02,0.5,1.06,0.5,0.28,NA,0.01,2,2461,0,1
0.35,0.64,1.11,0.68,0.22,NA,0,2.1,2197,0,1
0.2,0.23,0.26,0.23,0.02,NA,0,4.2,573,0.04,1.01
