"city","site","variable","value","total","year"
"poor","POOR-E01-OB1","Asian",196.38398373675,5015.99318591679,1
"poor","POOR-E01-OB1","Black",93.1142345594707,5015.99318591679,1
"poor","POOR-E01-OB1","Latino",196.518868133331,5015.99318591679,1
"poor","POOR-E01-OB1","White",4328.09100090352,5015.99318591679,1
"poor","POOR-E02-OB2","Asian",89.2525072749598,2989.15637746276,1
"poor","POOR-E02-OB2","Black",44.5548929387197,2989.15637746276,1
"poor","POOR-E02-OB2","Latino",96.1915032330707,2989.15637746276,1
"poor","POOR-E02-OB2","White",2638.63709266906,2989.15637746276,1
"poor","POOR-E03-JCP","Asian",137.671979658972,4962.15636882642,1
"poor","POOR-E03-JCP","Black",57.7374924832363,4962.15636882642,1
"poor","POOR-E03-JCP","Latino",166.63710585333,4962.15636882642,1
"poor","POOR-E03-JCP","White",4427.2141436516,4962.15636882642,1
"poor","POOR-E04-TJP","Asian",204.82079631101,6657.50152286675,1
"poor","POOR-E04-TJP","Black",44.5050174458772,6657.50152286675,1
"poor","POOR-E04-TJP","Latino",215.209404806065,6657.50152286675,1
"poor","POOR-E04-TJP","White",5974.00238425923,6657.50152286675,1
"poor","POOR-E06-BEL","Asian",259.699035415307,7062.28202362345,1
"poor","POOR-E06-BEL","Black",81.0643574033868,7062.28202362345,1
"poor","POOR-E06-BEL","Latino",564.172479424368,7062.28202362345,1
"poor","POOR-E06-BEL","White",5827.25421780767,7062.28202362345,1
"poor","POOR-E08-WFP","Asian",481.448402531314,6476.41426440207,1
"poor","POOR-E08-WFP","Black",97.3012301206356,6476.41426440207,1
"poor","POOR-E08-WFP","Latino",676.000434037679,6476.41426440207,1
"poor","POOR-E08-WFP","White",4827.05743732615,6476.41426440207,1
"poor","POOR-E11-BTP","Asian",414.2509821649,4761.33949477321,1
"poor","POOR-E11-BTP","Black",68.1347547526057,4761.33949477321,1
"poor","POOR-E11-BTP","Latino",418.758661527245,4761.33949477321,1
"poor","POOR-E11-BTP","White",3644.62982868863,4761.33949477321,1
"poor","POOR-E12-128","Asian",341.696042194408,4627.06055903286,1
"poor","POOR-E12-128","Black",99.4905073061178,4627.06055903286,1
"poor","POOR-E12-128","Latino",414.866079859348,4627.06055903286,1
"poor","POOR-E12-128","White",3566.95434833332,4627.06055903286,1
"poor","POOR-E13-PB1","Asian",230.238370055677,2611.83173129608,1
"poor","POOR-E13-PB1","Black",34.0119161883344,2611.83173129608,1
"poor","POOR-E13-PB1","Latino",131.825244104991,2611.83173129608,1
"poor","POOR-E13-PB1","White",2105.58066537866,2611.83173129608,1
