"city","site","variable","value","year"
"baca","SFCA-O01-GGP1","Median value",1295846.09352084,1
"baca","SFCA-O01-LPK1","Median value",1951141.8735288,1
"baca","SFCA-O01-LPK2","Median value",821051.444732985,1
"baca","SFCA-O01-SUN1","Median value",1043191.65389411,1
"baca","SFCA-O02-BRO1","Median value",519839.305430098,1
"baca","SFCA-O02-LKM1","Median value",675752.04998912,1
"baca","SFCA-O02-LKM2","Median value",152505.141201369,1
"baca","SFCA-O02-PLK1","Median value",1113341.36002822,1
"baca","SFCA-O02-WSN1","Median value",1086915.45864402,1
"sewa","SVP1","Median value",149935.841275332,1
"sewa","SWD1","Median value",158773.491397231,1
"sewa","TCC1","Median value",199394.342900622,1
"sewa","TMF1","Median value",7109.13660582808,1
"sewa","TMP1","Median value",86085.9382508204,1
"sewa","TRN1","Median value",30352.2262262602,1
"sewa","WCP2","Median value",152417.195186807,1
"sewa","WDG1","Median value",121137.425892818,1
"baca","WP","Median value",176561.449089057,1
"mela","CalT01","Median value",428720.248779478,1
"mela","CalT02","Median value",112025.593325658,1
"mela","CalT03","Median value",310120.025355496,1
"mela","ED01","Median value",463593.548687574,1
"mela","ED03","Median value",474394.832586147,1
"mela","ED04","Median value",443544.685735883,1
"mela","ED05","Median value",256326.244389852,1
"mela","ED06","Median value",117496.34180638,1
"mela","ED07","Median value",267449.69724852,1
"mela","ED08","Median value",439544.71246299,1
"mela","ELMOD","Median value",289787.233611577,1
"mela","H01-AST1","Median value",731361.546530706,1
"mela","H01-BEA2","Median value",101776.705647831,1
"mela","H01-BGC1","Median value",292665.812014956,1
"mela","H01-CCH1","Median value",228523.576838847,1
"mela","H01-DEB1","Median value",389154.466803733,1
"mela","H01-DVG","Median value",268007.722001245,1
"mela","H01-FIR1","Median value",189742.328861828,1
"mela","H01-FLN1","Median value",60563.8747360292,1
"mela","H01-FRE1","Median value",111096.353478248,1
"mela","H01-GSC1","Median value",200788.388692929,1
"mela","H01-HFR1","Median value",69667.448162422,1
"mela","H01-HNP1","Median value",282162.630928518,1
"mela","H01-LTC1","Median value",56966.738525039,1
"mela","H01-OCC1","Median value",248979.871339097,1
"mela","H01-OXY1","Median value",494323.731291056,1
"mela","H01-RHR1","Median value",68532.1797253948,1
"mela","H01-ROS1","Median value",355951.531176753,1
"mela","H01-SPS1","Median value",592152.154989823,1
"mela","H01-TMC1","Median value",308542.560158161,1
"mela","H01-WAV1","Median value",90319.1584627049,1
"mela","H01-WTP1","Median value",69022.1285851798,1
"mela","H01-WWD1","Median value",139113.190831929,1
"mela","IRC01","Median value",34985.1421843777,1
"mela","IRC02","Median value",31315.8894441165,1
"mela","IRC03","Median value",27283.6161777845,1
"mela","IRC04","Median value",17044.3468902886,1
"mela","IRC05","Median value",13180.8643337661,1
"mela","IRC06","Median value",12398.0724262714,1
"mela","IRC07","Median value",13714.2852413583,1
"mela","OAK","Median value",361325.176585307,1
"mela","OCP02","Median value",215861.635200787,1
"mela","OCP03","Median value",273323.732662589,1
"mela","PW01","Median value",262946.918831306,1
"mela","SA","Median value",102889.374417277,1
"phaz","01_T01","Median value",447.127860275076,1
"phaz","02_T02","Median value",447.127860275099,1
"phaz","03_T03","Median value",447.127860275086,1
"phaz","04_T04","Median value",447.127860275107,1
"phaz","05_T05","Median value",447.127860275064,1
"phaz","06_T06","Median value",447.127860275125,1
"phaz","07_T07","Median value",447.127860275069,1
"phaz","08_T08","Median value",447.127860275087,1
"phaz","09_T09","Median value",570.745769726079,1
"phaz","1_01_AF14","Median value",447.127860275087,1
"phaz","1_02_EME","Median value",131.151996973851,1
"phaz","1_03_EMW","Median value",1921.97714316525,1
"phaz","1_04_J9","Median value",148.51517181023,1
"phaz","1_05_MCS","Median value",5485.72607124481,1
"phaz","1_06_T21","Median value",16029.4512773167,1
"phaz","1_07_UMP","Median value",12861.1023695441,1
"phaz","1_08_V9","Median value",2680.56905887832,1
"phaz","1_09_W19","Median value",11599.2780344523,1
"phaz","1_10_GOAT","Median value",410.338637440869,1
"phaz","10_T10","Median value",725.923825016939,1
"phaz","11_T11","Median value",721.904600994452,1
"phaz","12_T12","Median value",765.670479114032,1
