"loc","mu_beta","var_beta","mu_rich","var_rich"
1,0.36480749028749,0.00714293470961376,9.1198,1.62937383476695
2,0.0827766233766234,0.0100257125398373,6.3272,1.17157447489498
3,0.208541212121212,0.00592808073298474,7.295,1.13940288057612
4,0.389963515928516,0.00447304612820894,9.4414,1.24641532306461
5,0.361146157176157,0.00438042861006607,8.9956,0.904161472294459
6,0.420713167943168,0.00414523044394347,9.9148,0.83650826165233
7,0.365994563769564,0.00407833682678923,9.0634,0.945169473894779
8,0.19584487012987,0.00626069153397441,7.1774,1.07254374874975
9,0.206417503607504,0.00570155997996219,7.2748,1.15231542308462
10,0.295620674880675,0.00494511356208745,8.1736,1.02886881376275
11,0.429233761793762,0.00335478297175274,10.0572,0.937715703140628
12,0.287021141636142,0.00398088867891893,8.0648,0.985598079615923
13,0.517407905966582,0.00346921613947234,11.8994,0.814242488497699
14,0.515554310689311,0.00342865112724362,11.851,0.780555111022204
15,0.368135625485626,0.0041609606376596,9.0968,0.975224804960992
16,0.436340989010989,0.00364947365109422,10.1956,1.07555575115023
17,0.428366434676435,0.00334067141538667,10.0408,0.916518663732746
18,0.373328961038961,0.00456723706368963,9.1816,1.05803304660932
19,0.376114302919303,0.00374115304945534,9.2158,1.10905217043409
20,0.429499613719614,0.00350649211638566,10.065,0.952965593118624
21,0.493458787389081,0.00379586995556434,11.3552,1.13726041208242
22,0.444595459262959,0.00606663624589254,10.4208,1.74967729545909
23,0.430068467088467,0.00404177985038368,10.0832,0.954068573714743
24,0.453117814685315,0.00414180399784364,10.5296,1.3181874774955
25,0.0689216883116883,0.00869213522734511,6.2236,1.10222348469694
26,0.446252511932512,0.00387805157733195,10.3888,1.202275015003
27,0.469862683982684,0.00336698237802912,10.8202,0.742420444088818
28,0.107278185148185,0.00963223349933398,7.5476,1.91411706341268
29,0.0850431979131979,0.0086768108248661,7.3594,1.85220208041608
30,0.382842603785104,0.00512269650632046,10.807,1.46604420884177
31,0.319187722277722,0.00478940625824871,9.7904,1.40754934986997
32,0.306330404040404,0.00816735857492886,9.641,1.36159131826365
33,0.160209415029415,0.0103249097506806,7.9974,1.61211566313263
34,0.264481865356865,0.00363988996858646,9.0688,1.6051875975195
35,0.177876799311799,0.00458338260587527,8.1356,1.63954054810962
36,0.163341376401376,0.0105490067162418,8.0282,1.61852846569314
37,0.375353716561217,0.00477478674825662,10.6676,1.36778379675935
38,0.0902239516039516,0.00836913621252306,7.3996,1.87469477895579
39,0.4182397002997,0.00633472474416151,11.4742,1.21397715543109
40,0.416902983682984,0.00624406653773507,11.4458,1.21570550110022
41,0.312610222000222,0.00574140551401998,9.707,1.39983096619324
42,0.330142128982129,0.00640642604367428,9.9796,1.62910966193239
43,0.326790357975358,0.00617734705997832,9.9232,1.54361048209642
44,0.313580658785659,0.00589976526392254,9.7246,1.43904264852971
45,0.288105502830503,0.00490785780337821,9.3898,1.8206200840168
46,0.322084077589078,0.00594671940875734,9.8508,1.53124560912182
47,0.37899072678955,0.00615304852783483,10.7494,1.37807525505101
48,0.332257528027528,0.00903828840889459,10.0638,2.07334422884577
49,0.369437014652015,0.00660478701737942,10.5896,1.34624108821764
50,0.389263353590854,0.00533937827762912,10.927,1.53357771554311
51,0.0808263164613165,0.00811088826096718,7.3184,1.78417827565513
52,0.388157573537574,0.00529219697869593,10.906,1.51866773354671
53,0.377011700521701,0.00651633384118108,10.719,1.36591218243649
54,0.346761428571429,0.0154074005174177,4.9042,1.48291894378876
55,0.664641738816739,0.00758453295476244,9.4576,1.238850010002
56,0.64765242035742,0.00859001317505298,8.9946,0.895950030006001
57,0.665444850704851,0.00704347040316402,9.4464,1.10014706941388
58,0.524404033189033,0.0111476733580736,6.654,1.21092618523705
59,0.55859268009768,0.0115733556622008,7.1804,1.06126809361872
60,0.403427222222222,0.0182917427748021,5.3486,1.18371478295659
61,0.453565425685426,0.012837502304478,5.8112,1.33582172434487
62,0.68483212010212,0.00691272699050782,10.048,0.924680936187237
63,0.526224797979798,0.010110383775892,6.6666,1.20568557711542
64,0.722143439060939,0.00539571200992463,11.3876,1.06597943588718
65,0.721007417582418,0.00542000428094372,11.3392,1.04155167033407
66,0.651854125874126,0.00823619749111027,9.0988,0.922423044608922
67,0.674795066045066,0.00635658708773938,9.715,1.29403380676135
68,0.67073918026418,0.00648461702318559,9.5872,1.15542724544909
69,0.654578520923521,0.00816900415419751,9.1786,1.04611126225245
70,0.639208917193917,0.00717417073193216,8.752,1.3203600720144
71,0.632250572205572,0.00750235455064055,8.5816,1.21398423684737
72,0.705502594072594,0.0056126519057857,10.7388,1.38245105021004
73,0.658941884226884,0.00806871218563865,9.3636,2.22303964792959
74,0.670956909201909,0.006459239978635,9.5958,1.22706777355471
75,0.698028779504809,0.00669523186104341,10.5214,1.29260056011202
76,0.14358753968254,0.0276504556378081,3.815,1.40585617123425
77,0.66208023976024,0.00808714928106239,9.397,1.17922684536907
78,0.696147264957265,0.00609511374288514,10.4004,0.973074454890978
79,0.580117424242424,0.00594349819486507,9.4924,1.26819587917584
80,0.553428259518259,0.0074615284726906,8.9216,0.830819603920784
81,0.573255483405483,0.00590091258354,9.3236,1.06509605921184
82,0.392240281385281,0.00924991115820447,6.5798,1.23707937587518
83,0.508446376956377,0.00794384226008343,8.1058,0.963599079815963
84,0.243740079365079,0.0178194964980335,5.3358,1.183275015003
85,0.298335974025974,0.0118145457230622,5.7364,1.35838671734347
