"loc","mu_beta","var_beta","mu_rich","var_rich","na_count"
"1",0.464737867488549,0.00490784843333574,9.1176,1.62209465893179,0
"10",0.525713459318459,0.00821099365250697,8.1872,1.07317079415883,0
"100",0.333035870795871,0.0123220434006428,4.626,1.35719543908782,0
"1000",0.440674292374292,0.00867766360431516,5.9374,1.44657055411082,0
"10000",0.235729173982193,0.00663177373312474,6.7532,1.47938563712743,0
"10001",0.405646010581752,0.00417635335433883,10.7834,1.39316307261452,0
"10002",0.314316953930143,0.00583772701932878,8.7318,1.49216719343869,0
"10003",0.387013178723581,0.00987420436616696,8.3508,2.39621860372074,0
"10004",0.515780164020706,0.00560509601434137,11.173,2.04988097619524,0
"10005",0.411176047708741,0.00800301751434278,8.891,2.02792458491698,0
"10006",0.27694318905209,0.00557223624109985,8.1358,1.58167469493899,0
"10007",0.256603419717537,0.00721421738601588,7.3156,1.84516567313463,0
"10008",0.344982234463163,0.00641295096227356,9.3226,1.87610446089218,0
"10009",0.539436701485649,0.0109818094886416,9.7924,2.03290882176435,0
"1001",0.310905124875125,0.012737555361483,4.721,1.15819063812763,0
"10010",0.377365531759262,0.00376708269557156,9.9374,1.49858095619124,0
"10011",0.431573351284079,0.00817061654318567,9.4506,1.92554474894979,0
"10012",0.334868930938343,0.00583987714312467,8.5314,1.8801900780156,0
"10013",0.609652116617473,0.00648999374486174,10.5328,1.26997815563113,0
"10014",0.480421492346663,0.00560848224921878,10.247,1.71753450690138,0
"10015",0.581930460944284,0.00569143238492733,8.6196,1.34516487297459,0
"10016",0.433518831899095,0.00774227167530698,9.5466,1.30608965793159,0
"10017",0.372908791092173,0.00529171258239837,10.4972,1.2522426085217,0
"10018",0.606900124777184,0.00587479999744724,9.8306,1.46659695939188,0
"10019",0.384938444424513,0.00487816752476375,9.8282,2.11030682136427,0
"1002",0.218418127428127,0.0136253530763457,5.698,1.4698899779956,0
"10020",0.608435970405583,0.00654510195070425,10.0204,1.57029789957992,0
"10021",0.421635036154076,0.00895958292885952,9.5384,1.94131370274055,0
"10022",0.768741300923019,0.0207064345527227,9.8102,2.54148425685137,0
"10023",0.860697534132534,0.0219809827650398,8.3194,1.8073451090218,0
"10024",0.353669173897997,0.00915310226248043,7.2234,1.80585361072214,0
"10025",0.686937296592297,0.0124357111802457,8.1962,1.78166189237848,0
"10026",0.187350667141088,0.00470241382664034,10.89,1.51620324064813,0
"10027",0.621005226027842,0.00566517907026814,10.3876,1.20320688137628,0
"10028",0.233797134870942,0.00521827244755744,12.3626,1.73786881376275,0
"10029",0.110745015475998,0.00305197537525911,12.1704,1.94135211042208,0
"1003",0.343963356643357,0.0132944824139062,4.9684,1.37407625525105,0
"10030",0.314470524372428,0.00339944929314387,10.3844,1.18407345469094,0
